#Disp(mm)	Force(N)
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
0 0 0                   0 0 0
